category,subcategory,genericname,name,brand,price,mrp,imgURL,rating,country,sellerName,quantity,sellerUsername
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Black),HOTSTYLE,172,499,https://rukminim1.flixcart.com/image/714/857/kq6yefk0/shoe/p/s/r/10-fashion-star-black-165-beige-10-hotstyle-beige-black-original-imag4992vm7yfvfq.jpeg?q=50,3.8,India,HotstyleProducts,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Casuals For Men  (Black),aadi,223,999,https://rukminim1.flixcart.com/image/714/857/kx50gi80/shoe/5/1/j/6-mrj1674-6-aadi-black-original-imag9nzpyznwzqqu.jpeg?q=50,3.9,India,Dadwanis Footwear,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Trendy Sports Running Running Shoes For Men  (Orange, Grey)",BRUTON,209,"1,299",https://rukminim1.flixcart.com/image/714/857/kmwcuq80/shoe/w/u/s/7-444-gry-org-bruton-orange-original-imagfp7fzz5ftzfc.jpeg?q=50,3.7,India,SALEMARTINDIA,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Combo Pack of 2 Sports Shoes Running Shoes For Men  (Blue),BIRDE,347,998,https://rukminim1.flixcart.com/image/714/857/kqidx8w0/shoe/i/4/n/6-brd-406-300-blue-6-birde-blue-original-imag4g8cmfkfzkjg.jpeg?q=50,3.6,India,Auvio,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"wndr-13 sports shoes for men | Latest Stylish Casual sport shoes for men |running shoes for boys | Lace up Lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Green, Grey, Blue)",ASIAN,398,699,https://rukminim1.flixcart.com/image/714/857/jur9nrk0/shoe/k/b/a/wonder-1313-7-asian-grey-orange-original-imaffbmzjc5hmagy.jpeg?q=50,4.1,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Mesh Running Shoes For Men  (Red),aadi,223,999,https://rukminim1.flixcart.com/image/714/857/kxc5nrk0/shoe/a/t/h/6-mrj1785-6-aadi-red-original-imag9tcdsykhtsfs.jpeg?q=50,3.9,India,Dadwanis Footwear,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Comfortable and Stylish Sports Shoes Running Shoes For Men  (Green),BIRDE,223,499,https://rukminim1.flixcart.com/image/714/857/kpwybgw0/shoe/q/s/c/8-brd-470-8-birde-green-original-imag4fzp5xdgmbpt.jpeg?q=50,3.9,India,Auvio,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Black),aadi,223,999,https://rukminim1.flixcart.com/image/714/857/k3lwuq80/shoe/z/v/h/mrj1324-9-aadi-black-original-imafmzfc2hyze9tv.jpeg?q=50,4.1,India,PrideShoes,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Bersache Sports Running, Loafers, Sneakers Shoes for Men ORIWFSH-1657 Running Shoes For Men  (Grey)",BERSACHE,180,499,https://rukminim1.flixcart.com/image/714/857/kfeamq80-0/shoe/i/z/i/combo-o-1660-1657-6-earton-multicolor-original-imafvv99kg24rxgy.jpeg?q=50,3.6,India,ORICUMFOOTWEAR,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Socks Stylish Cricket , Walking Shoes , Light Weight Sports Shoes Running Shoes For Men Running Shoes For Men  (Navy)",T-ROCK,209,999,https://rukminim1.flixcart.com/image/714/857/k5bcscw0pkrrdj/shoe/6/f/h/7-11410-navy-t-rock-11410-navy-original-imafnzqrcpvd5ebw.jpeg?q=50,3.7,India,Gudu,50,retailnet@gmail.com
