CATEGORY,SUB-CATEGORY,GENERIC NAME,PRODUCT NAME,PRODUCT BRAND,PRODUCT OFFER PRICE,PRODUCT MAXIMUM RETAIL PRICE,PRODUCT IMAGE URL,PRODUCT RATING,PRODUCT COO TAG,PRODUCT SELLER,QUANTITY,SELLER USERNAME
Fashion,Men Top Wear,T Shirts,Solid Men Round Neck Light Blue T-Shirt,FTX,189,599,https://rukminim2.flixcart.com/image/714/857/kq9ta4w0/t-shirt/w/k/7/m-723-3-ftx-original-imag4bhzaucgpuh3.jpeg?q=50,4.1,India,FORCAS APPARELS ,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Solid Men Round Neck Black T-Shirt,FTX,189,599,https://rukminim2.flixcart.com/image/714/857/kq9ta4w0/t-shirt/s/4/z/m-723-2-ftx-original-imag4bhz7hrxbgmh.jpeg?q=50,4.1,India,FORCAS APPARELS ,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,"Solid Men Mandarin Collar Brown, Black T-Shirt",TRIPR,239,"1,999",https://rukminim2.flixcart.com/image/714/857/kyrlifk0/t-shirt/2/a/v/xxl-tbrblhenful-d37-tripr-original-imagax9ucbwhf7wn.jpeg?q=50,3.9,India,TRIPR,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Color Block Men Round Neck Grey T-Shirt,Eyebogler,189,"1,299",https://rukminim2.flixcart.com/image/714/857/kkfrjww0/t-shirt/h/1/t/l-t312-cgblwh-new-eyebogler-original-imafzs5hrjgzsfpr.jpeg?q=50,3.9,India,MenRocks,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,"Striped Men Hooded Neck Red, Black T-Shirt",HELMONT,123,999,https://rukminim2.flixcart.com/image/714/857/kf1fo280hlty2aw-0/t-shirt/w/s/e/-original-imafdfvvr8hqdu65.jpeg?q=50,4,India,Helmont,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,"Striped Men Round Neck Maroon, Grey T-Shirt",BLIVE,205,"1,399",https://rukminim2.flixcart.com/image/714/857/keykscw0-0/t-shirt/l/d/q/3xl-bmrgyrnful-z12-blive-original-imafvgzkyjghf7ba.jpeg?q=50,4,India,TRIPR,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Solid Men Polo Neck Black T-Shirt,HRX by Hrithik Roshan,369,"1,299",https://rukminim2.flixcart.com/image/714/857/jvfk58w0/t-shirt/x/g/d/l-hrxss18mk-1001-a-hrx-by-hrithik-roshan-original-imafgc26zjagpcdq.jpeg?q=50,3.8,India,RetailNet,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,"Solid Men Mandarin Collar Dark Blue, Maroon T-Shirt",FastColors,139,"1,999",https://rukminim2.flixcart.com/image/714/857/kxjav0w0/t-shirt/u/y/1/xxl-fc4056-fastcolors-original-imag9z24zcz8mmxb.jpeg?q=50,4,India,FastColors,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Printed Men Round Neck Yellow T-Shirt,BLIVE,159,"1,999",https://rukminim2.flixcart.com/image/714/857/kzllrbk0/t-shirt/b/6/d/l-bylrn-z31-blive-original-imagbkqgknxgmncw.jpeg?q=50,3.8,India,TRIPR,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Solid Men Round Neck Blue T-Shirt,FTX,189,599,https://rukminim2.flixcart.com/image/714/857/kq9ta4w0/t-shirt/o/t/d/s-723-6-ftx-original-imag4bhzkshdkr68.jpeg?q=50,4.1,India,FORCAS APPARELS ,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,"Striped Men Round Neck Black, Light Green T-Shirt",Aelomart,366,"1,499",https://rukminim2.flixcart.com/image/714/857/jwmfcsw0/t-shirt/p/f/d/xxl-awt1020ol-aelomart-original-imaf7qdtbzggxbpu.jpeg?q=50,4.1,India,AELOMART,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,"Striped Men Round Neck Yellow, Blue, White T-Shirt",Eyebogler,289,"1,299",https://rukminim2.flixcart.com/image/714/857/kz3118w0/t-shirt/o/q/f/l-t305-as10yldnwh-eyebogler-original-imagb62bzjrgqa5v.jpeg?q=50,4.2,India,SevenRocks,50,retailnet@gmail.com
Fashion,Men Top Wear,Shirt,Men Slim Fit Checkered Casual Shirt,Surhi,339,"1,999",https://rukminim2.flixcart.com/image/714/857/kc0u7bk0/shirt/k/a/a/m-pk19sh09g-surhi-original-imaft8vgvhmhbhsy.jpeg?q=50,3.8,India,SURASHAS,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Self Design Men Round Neck Black T-Shirt,Eyebogler,189,"1,299",https://rukminim2.flixcart.com/image/714/857/khmbafk0-0/t-shirt/w/j/s/xs-t322-blwh-seven-rocks-original-imafxhagtyj2xvpn.jpeg?q=50,4.1,India,MenRocks,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Printed Men Hooded Neck Red T-Shirt,TRIPR,243,"1,399",https://rukminim2.flixcart.com/image/714/857/kqy3rm80/t-shirt/e/i/d/4xl-trdhdfulmask-lion-tripr-original-imag4u95bzrmjhnv.jpeg?q=50,4.1,India,TRIPR,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Solid Men Round Neck Light Blue T-Shirt,FTX,189,599,https://rukminim2.flixcart.com/image/714/857/kq9ta4w0/t-shirt/w/k/7/m-723-3-ftx-original-imag4bhzaucgpuh3.jpeg?q=50,4.1,India,FORCAS APPARELS ,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Solid Men Round Neck Black T-Shirt,FTX,189,599,https://rukminim2.flixcart.com/image/714/857/kq9ta4w0/t-shirt/s/4/z/m-723-2-ftx-original-imag4bhz7hrxbgmh.jpeg?q=50,4.1,India,FORCAS APPARELS ,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Solid Men Round Neck White T-Shirt,GREY BOX,191,"1,195",https://rukminim2.flixcart.com/image/714/857/kf8kvbk0-0/t-shirt/d/t/o/l-tshrt-pln-whit-grey-box-original-imafvqr8bhrr5g6p.jpeg?q=50,4,India,Grey Box Clothing,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Solid Men Hooded Neck Black T-Shirt,Eyebogler,239,"1,299",https://rukminim2.flixcart.com/image/714/857/kiyw9e80-0/t-shirt/z/s/j/m-t2-seven-rocks-original-imafyn68m9v2pvwh.jpeg?q=50,4.1,India,SevenRocks,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Color Block Men Round Neck Multicolor T-Shirt,TRIPR,169,"1,399",https://rukminim2.flixcart.com/image/714/857/kr6oeq80/t-shirt/m/h/u/l-tblwtrdrn-d27-tripr-original-imag5fbm3gcf8tcz.jpeg?q=50,4,India,TRIPR,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,"Color Block Men Hooded Neck White, Red, Black T-Shirt",Eyebogler,189,"1,299",https://rukminim2.flixcart.com/image/714/857/kkec4280/t-shirt/b/m/i/l-t345-blwhrd-new-eyebogler-original-imafzr4f7nxecr44.jpeg?q=50,3.9,India,SevenRocks,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Solid Men Polo Neck Black T-Shirt,HRX by Hrithik Roshan,369,"1,299",https://rukminim2.flixcart.com/image/714/857/jvfk58w0/t-shirt/x/g/d/l-hrxss18mk-1001-a-hrx-by-hrithik-roshan-original-imafgc26zjagpcdq.jpeg?q=50,3.8,India,RetailNet,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Solid Men Round Neck Blue T-Shirt,FTX,189,599,https://rukminim2.flixcart.com/image/714/857/kq9ta4w0/t-shirt/o/t/d/s-723-6-ftx-original-imag4bhzkshdkr68.jpeg?q=50,4.1,India,FORCAS APPARELS ,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Striped Men Round Neck Blue T-Shirt,Reya,223,"1,499",https://rukminim2.flixcart.com/image/714/857/kzd147k0/t-shirt/q/z/m/m-tsrt-303-reya-original-imagbefyffzh68wj.jpeg?q=50,3.9,India,REYA,50,retailnet@gmail.com
Fashion,Men Top Wear,T Shirts,Solid Men Round Neck Black T-Shirt,HRX by Hrithik Roshan,285,699,https://rukminim2.flixcart.com/image/714/857/jw5a2kw0/t-shirt/g/k/f/m-8692181-hrx-by-hrithik-roshan-original-imafgwgnqswe6bsz.jpeg?q=50,4.2,India,RetailNet,50,retailnet@gmail.com
