CATEGORY,SUB-CATEGORY,GENERIC NAME,PRODUCT NAME,PRODUCT BRAND,PRODUCT OFFER PRICE,PRODUCT MAXIMUM RETAIL PRICE,PRODUCT IMAGE URL,PRODUCT RATING,PRODUCT COO TAG,PRODUCT SELLER,QUANTITY,SELLER USERNAME
Fashion,Women Top Wear,Tops,"Casual Regular Sleeves Striped Women Dark Blue, White Top",Tokyo Talkies,446,"1,149",https://rukminim2.flixcart.com/image/714/857/kdj4xow0/top/s/4/y/l-tttp003773-tokyo-talkies-original-imafueu3zbs7nfzw.jpeg?q=50,4.1,India,UNIVERSALPRODUCTSGROUP,50,retailnet@gmail.com
Fashion,Women Top Wear,Tops,Casual Roll Up Sleeves Striped Women Multicolor Top,Tokyo Talkies,240,999,https://rukminim2.flixcart.com/image/714/857/jrmdvgw0/top/u/9/7/xl-tttp002687-tokyo-talkies-original-imafdctwrzbcdznj.jpeg?q=50,4.1,India,RetailNet,50,retailnet@gmail.com
Fashion,Women Top Wear,T Shirts,"Printed Women Round Neck Light Green, Black T-Shirt",Viral Trend,206,"1,249",https://rukminim2.flixcart.com/image/714/857/knunf680/t-shirt/u/c/f/s-crp-nvr-viral-trend-original-imag2gy84dsejzax.jpeg?q=50,4.3,India,JSR TRADING INDIA,50,retailnet@gmail.com
Fashion,Women Top Wear,Tops,Casual Regular Sleeves Solid Women Pink Top,Fab Star,319,"1,399",https://rukminim2.flixcart.com/image/714/857/klphn680/top/n/5/x/xl-regular-top-fab-star-original-imagyry2geb5ztzq.jpeg?q=50,4.1,India,fabstar,50,retailnet@gmail.com
Fashion,Women Top Wear,T Shirts,"Printed Women Round Neck White, Pink T-Shirt",METRONAUT,269,929,https://rukminim2.flixcart.com/image/714/857/k0bbb0w0/t-shirt/u/f/u/xs-mtro18-rn-hs-pink-white-revolutionpink-white-metronaut-original-imafk5647gxzygtu.jpeg?q=50,4.2,India,maniaclife,50,retailnet@gmail.com
Fashion,Women Top Wear,Tops,Casual Regular Sleeves Solid Women Maroon Top,Selvia,259,"1,497",https://rukminim2.flixcart.com/image/714/857/km0x5zk0/top/j/z/o/m-178tkr2901-selvia-original-imagfyqfytkkfpkn.jpeg?q=50,4.1,India,Selvia,50,retailnet@gmail.com
Fashion,Women Top Wear,T Shirts,"Color Block Women Round Neck Black, Maroon T-Shirt",GIRLS SHOPPIE,197,999,https://rukminim2.flixcart.com/image/714/857/ksc46fk0/t-shirt/t/y/p/xs-wmb-girls-shoppie-original-imag5xe3sdhgg8sg.jpeg?q=50,4,India,MJ INDUSTRIES,50,retailnet@gmail.com
Fashion,Women Top Wear,T Shirts,Printed Women Round Neck Pink T-Shirt,HRX by Hrithik Roshan,255,699,https://rukminim2.flixcart.com/image/714/857/jvfk58w0/t-shirt/a/w/6/xl-hrx-ss19-wk-8101-b-hrx-by-hrithik-roshan-original-imafgbt8gyc93k9n.jpeg?q=50,4.2,India,CONSULTINGFASHIONS,50,retailnet@gmail.com
Fashion,Women Top Wear,T Shirts,Printed Women Round Neck Purple T-Shirt,JUNEBERRY,339,"1,199",https://rukminim2.flixcart.com/image/714/857/ktep2fk0/t-shirt/g/s/r/s-jb-1204-pitties-juneberry-original-imag6re3tphz8znz.jpeg?q=50,4.3,India,AwesomfabShoppingPvt,50,retailnet@gmail.com
Fashion,Women Top Wear,Shirt,Women Regular Fit Solid Spread Collar Casual Shirt,Funday Fashion,219,"1,099",https://rukminim2.flixcart.com/image/714/857/jr0y9ow0/shirt/b/t/w/xl-funfas-0001-funday-fashion-original-imafcwzzmfh8mvx8.jpeg?q=50,4,India,SYSONLINESTORE,50,retailnet@gmail.com
Fashion,Women Top Wear,Tops,Casual Regular Sleeves Solid Women Red Top,Lady Stark,209,"1,160",https://rukminim2.flixcart.com/image/714/857/ju4em4w0/top/u/6/a/xxl-lstop5306-lady-stark-original-imaff6499kycbgcz.jpeg?q=50,3.9,India,DALCO,50,retailnet@gmail.com
Fashion,Women Top Wear,Tops,"Formal Sleeveless Striped Women White, Black Top",Lady Stark,189,"1,099",https://rukminim2.flixcart.com/image/714/857/top/8/d/w/lstop5186-lady-stark-xs-original-imaezznrcgtgg5hv.jpeg?q=50,3.7,India,DALCO,50,retailnet@gmail.com
