category,subcategory,genericname,name,brand,price,mrp,imgURL,rating,country,sellerName,quantity,sellerUsername,quantitySold,quantityCarts,quantityWishlists
Fashion,Women Top Wear,Tops,Casual Regular Sleeves Solid Women Dark Blue Top,Tokyo Talkies,216,"1,199",https://rukminim2.flixcart.com/image/714/857/kzx1a4w0/top/m/h/y/s-tttp006066-tokyo-talkies-original-imagbtfzju5fgmg8.jpeg?q=50,4.7,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Women Jeans,Jeans,Jogger Fit Women Light Blue Jeans,Tokyo Talkies,493,"1,699",https://rukminim2.flixcart.com/image/714/857/kybvo280/jean/b/x/i/26-ttjn002971-tokyo-talkies-original-imagakxz74hjexcz.jpeg?q=50,4.7,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Women Dress,Dress,Women Skater Silver Dress,Tokyo Talkies,258,"1,099",https://rukminim1.flixcart.com/image/714/857/kzx1a4w0/dress/q/y/f/xs-ttj6006499-tokyo-talkies-original-imagbte5ufjcsjq6.jpeg?q=50,4.7,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Women Top Wear,Tops,Casual Cap Sleeves Embroidered Women Blue Top,Tokyo Talkies,465,"1,249",https://rukminim2.flixcart.com/image/714/857/kzpw2vk0/top/4/p/2/m-tttp005691-tokyo-talkies-original-imagbz9hxtagnf2k.jpeg?q=50,4.6,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Women Top Wear,Tops,Casual Sleeveless Solid Women Pink Top,Tokyo Talkies,169,849,https://rukminim2.flixcart.com/image/714/857/kwtkxow0/top/p/p/d/xl-tttp005266-tokyo-talkies-original-imag9ez8ghnhqfrg.jpeg?q=50,4.6,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Men Shoes,Shoe,EOS Running Shoes For Men  (Navy),CAMPUS,947,"1,699",https://rukminim1.flixcart.com/image/714/857/kq6yefk0/shoe/h/b/b/10-6g-824-campus-navy-bt-grn-original-imag49g2akfguxgm.jpeg?q=50,4.6,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Men Kurta,Kurta,Men Printed Pure Cotton Straight Kurta  (Orange),PETER ENGLAND,959,"1,599",https://rukminim2.flixcart.com/image/714/857/ku04o7k0/kurta/h/a/b/l-pokuohsp989434-peter-england-original-imag783a6rwh5pdx.jpeg?q=50,4.6,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Women Jeans,Jeans,Skinny Women Blue Jeans,KILLER,"1,048","2,499",https://rukminim2.flixcart.com/image/714/857/ku1k4280/jean/j/k/t/28-kwj-0100-killer-original-imag78ygxwenf55k.jpeg?q=50,4.6,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Women Top Wear,Tops,Casual Puff Sleeves Printed Women Blue Top,Tokyo Talkies,346,"1,399",https://rukminim2.flixcart.com/image/714/857/kzn17680/top/l/o/d/-original-imagbhuhthqskbkf.jpeg?q=50,4.5,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Men Kurta,Kurta,Men Printed Cotton Blend Straight Kurta  (White),PETER ENGLAND,779,"1,199",https://rukminim2.flixcart.com/image/714/857/kv8fbm80/kurta/1/n/e/-original-imag86rvyrxe3vvm.jpeg?q=50,4.5,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Women Dress,Dress,Women Skater Silver Dress,Tokyo Talkies,258,"1,099",https://rukminim1.flixcart.com/image/714/857/kzx1a4w0/dress/l/a/x/s-ttj6006500-tokyo-talkies-original-imagbte5wa968b98.jpeg?q=50,4.5,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Women Top Wear,Tops,Casual Regular Sleeves Floral Print Women Black Top,LEVI'S,517,"1,399",https://rukminim2.flixcart.com/image/714/857/kltryq80/top/d/e/2/s-a1377-0000-levi-s-original-imagyuybehz9kc3y.jpeg?q=50,4.4,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Women Top Wear,Tops,Casual Sleeveless Solid Women Black Top,Tokyo Talkies,456,"1,199",https://rukminim2.flixcart.com/image/714/857/kz4gh3k0/top/i/u/a/xs-tttp006050-tokyo-talkies-original-imagb7d664nuhggc.jpeg?q=50,4.4,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Men Shoes,Shoe,CRYSTA PRO Running Shoes For Men  (Blue),CAMPUS,783,"1,299",https://rukminim1.flixcart.com/image/714/857/kzegk280/shoe/2/t/z/10-22g-484-10-campus-blu-red-original-imagbf2s36wxuqhw.jpeg?q=50,4.4,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Men Kurta,Kurta,Men Printed Cotton Blend Straight Kurta  (Grey),PETER ENGLAND,979,"1,399",https://rukminim2.flixcart.com/image/714/857/kwv0djk0/kurta/k/b/h/-original-imag9ft3nnpedeaj.jpeg?q=50,4.4,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Men Kurta,Kurta,Men Solid Polycotton Straight Kurta  (Light Green),PETER ENGLAND,879,"1,599",https://rukminim2.flixcart.com/image/714/857/kph8h3k0/kurta/q/x/u/m-pokuolspd92232-peter-england-original-imag3zuam5mvazhb.jpeg?q=50,4.4,India,RetailNet,50,retailnet@gmail.com,0,0,0
Fashion,Women Top Wear,Tops,Casual Regular Sleeves Solid Women Black Top,Tokyo Talkies,396,949,https://rukminim2.flixcart.com/image/714/857/kv9urgw0/top/1/b/p/m-tttp005008-tokyo-talkies-original-imag87m4tdk43pde.jpeg?q=50,4.3,India,RetailNet,50,retailnet@gmail.com,0,0,0
